For which of the following disciplines is Nobel Prize awarded? , Physics and Chemistry , Physiology or Medicine , "Literature, Peace and Economics" , All of the above , All of the above
Hitler party which came into power in 1933 is known as , Labour Party ,	Nazi Party , Ku-Klux-Klan , Democratic Party , Nazi Party
FFC stands for , Foreign Finance Corporation , Film Finance Corporation , Federation of Football Council , None of the above , Film Finance Corporation
Fastest shorthand writer was , Dr. G. D. Bist , J.R.D. Tata , J.M. Tagore , Khudada Khan , Dr. G. D. Bist
Epsom (England) is the place associated with , Horse racing , Polo , Shooting , Snooker , Horse racing
"First human heart transplant operation conducted by Dr. Christiaan Barnard on Louis Washkansky, was conducted in" , 1967 , 1968 , 1958 , 1922 , 1967	
Galileo was an Italian astronomer who , developed the telescope , discovered four satellites of Jupiter , discovered that the movement of pendulum produces a regular time measurement , All of the above , All of the above	
Habeas Corpus Act 1679 , states that no one was to be imprisoned without a writ or warrant stating the charge against him , provided facilities to a prisoner to obtain either speedy trial or release in bail , safeguarded the personal liberties of the people against arbitrary imprisonment by the king's orders , All of the above , All of the above
Exposure to sunlight helps a person improve his health because , the infrared light kills bacteria in the body , resistance power increases , the pigment cells in the skin get stimulated and produce a healthy tan , the ultraviolet rays convert skin oil into Vitamin D , the ultraviolet rays convert skin oil into Vitamin D
Golf player Vijay Singh belongs to which country? , USA , Fiji , India , UK , Fiji
"Guarantee to an exporter that the importer of his goods will pay immediately for the goods ordered by him, is known as" , Letter of Credit (L/C) , laissezfaire , inflation , None of the above , Letter of Credit (L/C)
First Afghan War took place in , 1839 , 1843 , 1833 , 1848 , 1839
First China War was fought between , China and Britain , China and France , China and Egypt , China and Greek , China and Britain
"For the Olympics and World Tournaments, the dimensions of basketball court are" , 26 m x 14 m , 28 m x 15 m , 27 m x 16 m , 28 m x 16 m , 28 m x 15 m
"Federation Cup, World Cup, Allywyn International Trophy and Challenge Cup are awarded to winners of" , Tennis , Volleyball , Basketball , Cricket , Volleyball
Each year World Red Cross and Red Crescent Day is celebrated on , May 8 , May 18 , June 8 , June 18 , May 8
Famous sculptures depicting art of love built some time in 950 AD � 1050 AD are , Khajuraho temples , Jama Masjid , Sun temple , Mahabalipuram temples , Khajuraho temples
Gravity setting chambers are used in industries to remove , SOx , NOx , suspended particulate matter , CO , suspended particulate matter
